SKU;Nom;SKU parent;Min - Max;Type;Prix par défaut;Prix du supplément;Département;Menu/Écran;Nom du bouton;Couleur du bouton;Style du bouton;Code-barres;Prix de revient;Contenu (gestion des stocks);Unité du contenu (gestion des stocks);Poids;Tare (grammes, vente au poids);Partage;Nom du bon de commande;Plat;Groupe statistique;Instruction de production
2129;soupe poireau, pdt , carotte;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Poireau, pdt , carotte;BLUE;Accentuer;;;;;;;GLOBAL;;;default/SOUPE;
2135;Soupe champignon, miel;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Champignon, miel;BLUE;Accentuer;;1.2000;;;;;GLOBAL;;;default/SOUPE;
2141;Poulet Korma;;;article;7.5;;PLATS;CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD;Poulet Korma;BLUE;Accentuer;;3.5000;;;;;GLOBAL;;;default/PLAT CHAUD;
2147;Vitamin Water Refresh;;;article;3.8;;SOFT;carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;Vitamin Water Refresh;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;default/BOISSON;
2153;Vitamin Water Awake;;;article;3.8;;SOFT;carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;Vitamin Water Awake;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;default/BOISSON;
2159;Vitamin Water Reload;;;article;3.8;;SOFT;carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;Vitamin Water Reload;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;default/BOISSON;
2160;Vitamin Water Boost;;;article;3.8;;SOFT;carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;Vitamin Water Boost;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;default/BOISSON;
2171;Coca Cola;;;article;2.0;;SOFT;carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;Coca Cola;BLUE;Accentuer;;0.6000;;;;;GLOBAL;;;default/BOISSON;
2172;Coca cola Zero;;;article;2.0;;SOFT;carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;Coca cola Zero;BLUE;Accentuer;;0.6000;;;;;GLOBAL;;;default/BOISSON;
2183;Vita coco;;;article;3.8;;SOFT;carte londres détaillée local/SOFT,CARTE TEST DETAILLEE/SOFT,BUFFET/SOFT, carte londres détaillée Livraison/SOFT, carte londres détaillée/SOFT;Vita coco;BLUE;Accentuer;;;;;;;GLOBAL;;;default/BOISSON;
2189;Grande salade sushi;;;article;7.5;;SALADE;CARTE TEST DETAILLEE/SALADE/Autre SALADE,BUFFET/SALADE/Autre SALADE;Grande salade sushi;GREEN;Accentuer;;1.8000;;;;;GLOBAL;;;default/SALADE;
2195;soupe panais à l'anglaise;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Panais à l'anglaise;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;default/SOUPE;
2201;Pink summer delight;;;article;4.8;;jus de fruit;CARTE TEST DETAILLEE/JUS/JUS DETAILLE,BUFFET/JUS/JUS DETAILLE;Pink summer delight;BLUE;Accentuer;;;;;;;GLOBAL;;;default/JUS;
2202;Miss Slim;;;article;4.8;;Jus de fruits;CARTE TEST DETAILLEE/JUS/JUS DETAILLE,BUFFET/JUS/JUS DETAILLE;Miss Slim;BLUE;Accentuer;;;;;;;GLOBAL;;;default/JUS;
2203;X eat;;;article;4.8;;Jus de fruits;CARTE TEST DETAILLEE/JUS/JUS DETAILLE,BUFFET/JUS/JUS DETAILLE;X eat;BLUE;Accentuer;;;;;;;GLOBAL;;;default/JUS;
