SKU;Nom;SKU parent;Min - Max;Type;Prix par défaut;Prix du supplément;Département;Menu/Écran;Nom du bouton;Couleur du bouton;Style du bouton;Code-barres;Prix de revient;Contenu (gestion des stocks);Unité du contenu (gestion des stocks);Poids;Tare (grammes, vente au poids);Partage;Nom du bon de commande;Plat;Groupe statistique;Instruction de production
87;Petite soupe 25cl;;;article;3.6;;Soupes;carte londres/SOUPES,CARTE TEST DETAILLEE/SOUPES,BUFFET/SOUPES, carte londres détaillée Livraison/SOUPES;Petite soupe 25cl;BLUE;Accentuer;;1.0000;;;;;GLOBAL;;;;
94;Fromage blanc / yaourt;;;article;3.5;;Desserts;carte londres/DESSERTS,Salon/DESSERTS, carte londres détaillée local/DESSERTS, carte londres détaillée Livraison/DESSERTS, carte londres détaillée/DESSERTS;Fromage blanc / yaourt;DARK_RED;Accentuer;;0.5000;;;;;GLOBAL;;;;
96;Crumble;;;article;3.5;;Desserts;carte londres/DESSERTS,Salon/DESSERTS;Crumble;DARK_RED;Accentuer;;0.9000;;;;;GLOBAL;;;;
97;Brownie;;;article;3.5;;Desserts;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;Brownie;BLUE;Accentuer;;;;;;;GLOBAL;;;;
98;Fromage B. Muesli;;;article;3.5;;Desserts;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;Fromage B. Muesli;BLUE;Accentuer;;0.7000;;;;;GLOBAL;;;;
100;Salade de fruits;;;article;4.0;;Desserts;carte londres/DESSERTS,Salon/DESSERTS, carte londres détaillée local/DESSERTS,CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS, carte londres détaillée Livraison/DESSERTS, carte londres détaillée/DESSERTS;Salade de fruits;BLUE;Accentuer;;0.9000;;;;;GLOBAL;;;;
106;cookie;;;article;3.0;;Desserts;carte londres/DESSERTS,Salon/DESSERTS, carte londres détaillée local/DESSERTS, carte londres détaillée Livraison/DESSERTS, carte londres détaillée/DESSERTS;cookie;DARK_RED;Accentuer;;0.5000;;;;;GLOBAL;;;;
114;tiramisu;;;article;3.5;;Desserts;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;tiramisu;BLUE;Accentuer;;1.2000;;;;;GLOBAL;;;default/DESSERT;
127;mousse choco/pannacotta/caram?llissimo;;;article;3.5;;Desserts;carte londres/DESSERTS,Salon/DESSERTS, carte londres détaillée local/DESSERTS, carte londres détaillée Livraison/DESSERTS, carte londres détaillée/DESSERTS;mousse/tiramisu/panacotta/mi cuit/fondant;DARK_RED;Accentuer;;0.9000;;;;;GLOBAL;;;;
130;Salade menu;;;article;6.5;;SALADE;carte londres/SALADE,Salon/SALADE, carte londres détaillée local/SALADE, carte londres détaillée Livraison/SALADE, carte londres détaillée/SALADE;Salade;DARK_RED;Accentuer;;1.6500;;;;;GLOBAL;;;;
131;Grande Salade;;;article;7.5;;SALADE;carte londres/SALADE;Grande Salade;BLUE;Accentuer;;1.8000;;;;;GLOBAL;;;default/SALADE;
138;Petite salade;;;article;4.5;;SALADE;carte londres/SALADE;Petite salade;BLUE;Accentuer;;1.1000;;;;;GLOBAL;;;;
186;fruit;;;article;1.0;;Desserts;carte londres/DESSERTS;fruit;BLUE;Accentuer;;0.5000;;;;;GLOBAL;;;;
187;Grand jus;;;article;5.8;;Jus de fruits;carte londres/JUS,Salon/JUS, carte londres détaillée local/JUS,CARTE TEST DETAILLEE/JUS,BUFFET/JUS, carte londres détaillée Livraison/JUS, carte londres détaillée/JUS;Grand jus du jour ou classique 47;BLUE;Accentuer;;1.6500;;;;;GLOBAL;;;;
194;Chips;;;article;2.0;;autres;carte londres/AUTRES,Salon/AUTRES, carte londres détaillée local/AUTRES,CARTE TEST DETAILLEE/AUTRES, carte londres détaillée Livraison/AUTRES, carte londres détaillée/AUTRES;Chips;BLUE;Accentuer;;0.5500;;;;;GLOBAL;;;;
202;GALETTE DE MAÏS : RIZ;;;article;4.0;;autres;carte londres/AUTRES,Salon/AUTRES, carte londres détaillée local/AUTRES,CARTE TEST DETAILLEE/AUTRES, carte londres détaillée Livraison/AUTRES, carte londres détaillée/AUTRES;Paquet cookies;BLUE;Accentuer;;2.0000;;;;;SHARED;;;;
212;galette de riz;;;article;2.0;;Boissons à emporter;carte londres/AUTRES, carte londres détaillée local/AUTRES,CARTE TEST DETAILLEE/AUTRES, carte londres détaillée Livraison/AUTRES, carte londres détaillée/AUTRES;galette de riz;BLUE;Accentuer;;0.5500;;;;;GLOBAL;;;;
237;grande quiche;;;article;7.5;;PLATS;carte londres/PLAT CHAUD,Salon/PLAT CHAUD, carte londres détaillée local/PLAT CHAUD,CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD, carte londres détaillée Livraison/PLAT CHAUD, carte londres détaillée/PLAT CHAUD;grande quiche;DARK_RED;Accentuer;;2.5000;;;;;GLOBAL;;;;
242;Soupe Japonaise;;;article;7.5;;PLATS;carte londres/PLAT CHAUD,CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD;Soupe Japonaise;DARK_RED;Accentuer;;1.8000;;;;;GLOBAL;;;;
244;Petit jus;;;article;3.2;;Jus de fruits;carte londres/JUS,Salon/JUS,CARTE TEST DETAILLEE/JUS,BUFFET/JUS, carte londres détaillée Livraison/JUS;Petit jus du jour ou classique 25 cl;BLUE;Accentuer;;1.0000;;;;;GLOBAL;;;default/1;
821;Salade (saumon, gravalax);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE,BUFFET/SALADE, carte londres détaillée Livraison/SALADE;Salade (saumon, gravalax);BLUE;Accentuer;;1.6500;;;;;GLOBAL;;;default/SALADE;
824;Salade choux rouge;;;article;6.5;;SALADE;carte londres détaillée local/SALADE,CARTE TEST DETAILLEE/SALADE,BUFFET/SALADE, carte londres détaillée/SALADE;Salade Choux Rouge;BLUE;Accentuer;;1.5000;;;;;GLOBAL;;;;
825;Soupe brocolis;;;article;4.6;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Brocolis au bleu;BLUE;Accentuer;;1.2000;;;;;GLOBAL;;;default/SOUPE;
1118;SOUPE 1L;;;article;7.0;;Soupes;carte londres/SOUPES;SOUPE 1L;BLUE;Accentuer;;2.5000;;;;;GLOBAL;;;;
1130;SORBET;;;article;3.8;;Desserts;carte londres/DESSERTS;SORBET;BLUE;Accentuer;;1.7000;;;;;GLOBAL;;;;
1459;bagel Saumon;;;article;5.0;;Sandwich;CARTE TEST DETAILLEE/SANDWICH,BUFFET/SANDWICH;bagel Saumon;BLUE;Accentuer;;1.5000;;;;;GLOBAL;;;default/sandwich;
1460;bagel New York;;;article;6.0;;Sandwich;carte londres détaillée local/SANDWICH,CARTE TEST DETAILLEE/SANDWICH,BUFFET/SANDWICH, carte londres détaillée Livraison/SANDWICH, carte londres détaillée/SANDWICH;Bagel New York;BLUE;Accentuer;;;;;;;GLOBAL;;;default/;
1461;wrap chaud houmous;;;article;6.0;;Sandwich;carte londres détaillée local/SANDWICH,CARTE TEST DETAILLEE/SANDWICH,BUFFET/SANDWICH, carte londres détaillée Livraison/SANDWICH, carte londres détaillée/SANDWICH;Wrap chaud houmous;BLUE;Accentuer;;1.6000;;;;;GLOBAL;;;default/SANDWICH;
1462;wrap mexicain;;;article;6.0;;Sandwich;carte londres détaillée local/SANDWICH,CARTE TEST DETAILLEE/SANDWICH,BUFFET/SANDWICH, carte londres détaillée Livraison/SANDWICH, carte londres détaillée/SANDWICH;Wrap chaud bacon;BLUE;Accentuer;;1.6000;;;;;GLOBAL;;;default/SANDWICH;
1463;Wrap ecrevisse;;;article;5.5;;Sandwich;CARTE TEST DETAILLEE/SANDWICH,BUFFET/SANDWICH;Wrap ecrevisse;BLUE;Accentuer;;1.6000;;;;;GLOBAL;;;default/SANDWICH;
1465;salade (haloumi, quinoa, butternut);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE/Autre SALADE,BUFFET/SALADE/Autre SALADE;salade haloumi;BLUE;Accentuer;;1.7000;;;;;GLOBAL;;;;
1466;Salade (lentilles, oeufs pochés);;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE/Autre SALADE,BUFFET/SALADE/Autre SALADE;Salade (lentilles, oeufs);BLUE;Accentuer;;;;;;;GLOBAL;;;default/;
1467;Grande Buddha bowl;;;article;7.5;;SALADE;carte londres détaillée local/SALADE,CARTE TEST DETAILLEE/SALADE,BUFFET/SALADE, carte londres détaillée Livraison/SALADE, carte londres détaillée/SALADE;Grande Buddha bowl;GREEN;Accentuer;;1.8000;;;;;GLOBAL;;;default/SALADE;
1469;Poulet tandoori, quinoa, lentilles;;;article;7.5;;PLATS;CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD;Poulet tandoori, Potiron, lentilles;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2328;Bagel Mozza;;;article;6.0;;Sandwich;carte londres détaillée local/SANDWICH,CARTE TEST DETAILLEE/SANDWICH/AUTRES SANDWICH,BUFFET/SANDWICH/AUTRES SANDWICH, carte londres détaillée Livraison/SANDWICH, carte londres détaillée/SANDWICH;Bagel Mozza;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2008;wrap poulet raz el anout;;;article;6.0;;Sandwich;carte londres détaillée local/SANDWICH,CARTE TEST DETAILLEE/SANDWICH,BUFFET/SANDWICH, carte londres détaillée Livraison/SANDWICH, carte londres détaillée/SANDWICH;Wrap poulet raz el anout;BLUE;Accentuer;;1.6000;;;;;GLOBAL;;;default/SANDWICH;
3000;Wrap (cajun, gucamole);;;article;6.0;;Sandwich;carte londres détaillée local/SANDWICH, carte londres détaillée/SANDWICH;Wrap (cajun, gucamole);BLUE;Accentuer;;;;;;;GLOBAL;;;;
1801;Salade ( risoni, pesto poivron);;;article;6.5;;SALADE;carte londres détaillée local/SALADE,CARTE TEST DETAILLEE/SALADE,BUFFET/SALADE, carte londres détaillée Livraison/SALADE, carte londres détaillée/SALADE;Salade (risoni, pesto poivron);BLUE;Accentuer;;3.3000;;;;;GLOBAL;;;default/;
2986;Salade(riz noir, tapenade de thon);;;article;6.5;;SALADE;carte londres détaillée local/SALADE, carte londres détaillée/SALADE;Salade(riz noir, tapenade de thon);BLUE;Accentuer;;;;;;;GLOBAL;;;;
3007;Salade Powerful;;;article;6.5;;SALADE;carte londres détaillée local/SALADE, carte londres détaillée/SALADE;SAlade Powerful;BLUE;Accentuer;;;;;;;GLOBAL;;;;
3028;Salade (saumon, pdt);;;article;6.5;;SALADE;carte londres détaillée local/SALADE, carte londres détaillée/SALADE;Salade (saumon, pdt);BLUE;Accentuer;;;;;;;GLOBAL;;;;
3035;salade (mozza, quinoa pesto, crudités);;;article;6.5;;SALADE;carte londres détaillée local/SALADE, carte londres détaillée/SALADE;salade (mozza, quinoa pesto, crudités);BLUE;Accentuer;;;;;;;GLOBAL;;;;
3014;Salade vietnamienne (size M);;;article;6.5;;SALADE;carte londres détaillée local/SALADE, carte londres détaillée/SALADE;Salade vietnamienne (size M);BLUE;Accentuer;;;;;;;GLOBAL;;;;
1807;Couscous, poulet;;;article;7.5;;PLATS;carte londres détaillée local/PLAT CHAUD,CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD, carte londres détaillée Livraison/PLAT CHAUD, carte londres détaillée/PLAT CHAUD;Couscous, poulet;BLUE;Accentuer;;3.5000;;;;;GLOBAL;;;default/PLAT CHAUD;
1809;Poulet Tikka;;;article;7.5;;PLATS;carte londres détaillée local/PLAT CHAUD,CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD, carte londres détaillée Livraison/PLAT CHAUD, carte londres détaillée/PLAT CHAUD;Poulet Tikka;BLUE;Accentuer;;3.5000;;;;;GLOBAL;;;default/PLAT CHAUD;
2894;Poulet tandoori, semoule d'orge;;;article;7.5;;PLATS;carte londres détaillée local/PLAT CHAUD, carte londres détaillée Livraison/PLAT CHAUD, carte londres détaillée/PLAT CHAUD;Poulet tandoori, semoule d'orge;BLUE;Accentuer;;;;;;;GLOBAL;;;;
2002;cabillaud, wok de légumes;;;article;7.5;;PLATS;CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD, carte londres détaillée Livraison/PLAT CHAUD;cabillaud, wok de légumes;BLUE;Accentuer;;;;;;;GLOBAL;;;default/PLAT CHAUD;
2939;Tikka vegan;;;article;7.5;;PLATS;carte londres détaillée local/PLAT CHAUD, carte londres détaillée/PLAT CHAUD;Tikka vegan;BLUE;Accentuer;;;;;;;SHARED;;;;
1810;Tortellini, pesto rouge;;;article;7.5;;PLATS;CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD, carte londres détaillée Livraison/PLAT CHAUD;Tortellini, pesto rouge;BLUE;Accentuer;;3.5000;;;;;GLOBAL;;;default/PLAT CHAUD;
1789;Grande(lentilles, chiogga);;;article;7.5;;SALADE;carte londres détaillée local/SALADE,CARTE TEST DETAILLEE/SALADE,BUFFET/SALADE, carte londres détaillée Livraison/SALADE, carte londres détaillée/SALADE;Grande(lentilles, chiogga);GREEN;Accentuer;;1.8000;;;;;GLOBAL;;;default/SALADE;
1795;Salade riz noir, ecrevisse;;;article;6.5;;SALADE;CARTE TEST DETAILLEE/SALADE/Autre SALADE,BUFFET/SALADE/Autre SALADE;Salade riz noir, ecrevisse;BLUE;Accentuer;;3.3000;;;;;GLOBAL;;;default/SALADE;
1808;Colombo, de poulet;;;article;7.5;;PLATS;CARTE TEST DETAILLEE/PLAT CHAUD,BUFFET/PLAT CHAUD;Colombo, de poulet;BLUE;Accentuer;;3.5000;;;;;GLOBAL;;;default/PLAT CHAUD;
1833;Mousse au chocolat;;;article;3.5;;DESSERT;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;Mousse au chocolat;BLUE;Accentuer;;1.2000;;;;;GLOBAL;;;default/DESSERT;
1955;Crumble , pomme fraise;;;article;3.5;;DESSERT;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;Crumble , pomme fraise;BLUE;Accentuer;;;;;;;GLOBAL;;;default/DESSERT;
1956;Crumble, pomme banane;;;article;3.5;;DESSERT;CARTE TEST DETAILLEE/DESSERTS,BUFFET/DESSERTS;Crumble, pomme banane;BLUE;Accentuer;;;;;;;GLOBAL;;;default/DESSERT;
1967;Soupe lentilles indienne;;;article;4.5;;Soupes;carte londres détaillée local/SOUPES/DESCRIPTIF,CARTE TEST DETAILLEE/SOUPES/SOUPE DETAILLEE,BUFFET/SOUPES/SOUPE DETAILLEE, carte londres détaillée Livraison/SOUPES/DESCRIPTIF, carte londres détaillée/SOUPES/DESCRIPTIF;Lentilles indienne;BLUE;Accentuer;;1.4000;;;;;GLOBAL;;;default/SOUPE;
